iter	Passed	Remaining
762	1037	322
763	1039	321
764	1041	319
765	1042	318
766	1043	317
767	1044	315
768	1046	314
769	1047	313
770	1050	312
771	1052	310
772	1053	309
773	1054	307
774	1056	306
775	1057	305
776	1058	303
777	1059	302
778	1060	300
779	1062	299
780	1063	298
781	1065	297
782	1067	295
783	1068	294
784	1069	292
785	1070	291
786	1072	290
787	1073	288
788	1074	287
789	1076	286
790	1077	284
791	1078	283
792	1081	282
793	1082	280
794	1083	279
795	1084	278
796	1085	276
797	1087	275
798	1088	273
799	1090	272
800	1091	271
801	1092	269
802	1093	268
803	1096	267
804	1097	265
805	1098	264
806	1100	263
807	1101	261
808	1103	260
809	1104	259
810	1105	257
811	1107	256
812	1108	254
813	1109	253
814	1112	252
815	1113	251
816	1114	249
817	1115	248
818	1117	246
819	1118	245
820	1119	244
821	1120	242
822	1121	241
823	1123	239
824	1124	238
825	1125	237
826	1127	235
827	1128	234
828	1129	233
829	1131	231
830	1131	230
831	1133	228
832	1134	227
833	1135	225
834	1136	224
835	1137	223
836	1138	221
837	1139	220
838	1141	219
839	1142	217
840	1144	216
841	1146	215
842	1147	213
843	1148	212
844	1149	210
845	1151	209
846	1152	208
847	1153	206
848	1156	205
849	1158	204
850	1159	203
851	1161	201
852	1162	200
853	1163	198
854	1164	197
855	1165	196
856	1167	194
857	1168	193
858	1169	191
859	1171	190
860	1173	189
861	1174	187
862	1175	186
863	1176	185
864	1177	183
865	1178	182
866	1180	181
867	1181	179
868	1182	178
869	1184	176
870	1186	175
871	1188	174
872	1189	173
873	1191	171
874	1192	170
875	1193	168
876	1194	167
877	1196	166
878	1197	164
879	1198	163
880	1199	162
881	1201	160
882	1203	159
883	1205	158
884	1206	156
885	1207	155
886	1209	154
887	1210	152
888	1211	151
889	1214	150
890	1216	148
891	1217	147
892	1218	146
893	1220	144
894	1221	143
895	1222	141
896	1223	140
897	1225	139
898	1226	137
899	1228	136
900	1231	135
901	1232	133
902	1234	132
903	1236	131
904	1237	129
905	1238	128
906	1239	127
907	1240	125
908	1242	124
909	1243	122
910	1245	121
911	1247	120
912	1248	118
913	1249	117
914	1250	116
915	1251	114
916	1253	113
917	1254	112
918	1255	110
919	1257	109
920	1258	107
921	1261	106
922	1262	105
923	1264	103
924	1265	102
925	1266	101
926	1267	99
927	1268	98
928	1270	97
929	1271	95
930	1272	94
931	1273	92
932	1275	91
933	1276	90
934	1278	88
935	1279	87
936	1280	86
937	1281	84
938	1282	83
939	1284	81
940	1285	80
941	1286	79
942	1288	77
943	1290	76
944	1292	75
945	1293	73
946	1294	72
947	1295	71
948	1296	69
949	1298	68
950	1299	66
951	1300	65
952	1302	64
953	1303	62
